index,Product,Product_ID,Arrival,Weight(kg)
34,Brinjal Long,752ae7a6-132c-4e00-a9da-cc695b9004fc,2013-06-18,22.5
35,Brocauli,1bfd97a0-d2d6-4d16-87c3-b83484b9b309,2013-06-18,75.0
36,Carrot,d3b79163-69db-4a43-9eb8-881fd1025604,2013-06-18,37.5
37,Grapes,73b05417-910e-433e-8828-ba093cc73a81,2013-06-18,255.0
38,Jack Fruit,17a467ff-59e4-4ad7-9fe4-7c3f467904dd,2013-06-18,22.5
39,Lime,3cf53b5f-e2d8-4d9e-9a8f-94bf6202954c,2013-06-18,300.0
40,Mango,7cfbb823-e54d-4777-b549-0654134b4a5c,2013-06-18,55.0
41,Okara,6112f93c-e2a9-498c-916f-7bf2ebde66d9,2013-06-18,22.5
42,Papaya,927b88e6-313a-449a-a830-d75dc0d0da0d,2013-06-18,57.5
43,Potato Red,65bd4fea-2644-4ff8-a0cd-edb856ca704c,2013-06-18,19.5
44,Potato White,3620e29e-0b1b-4ba3-aa1c-44953c92337c,2013-06-18,15.5
45,Raddish Red,bb4d8c4d-fa24-49b8-b860-6b570e6571dc,2013-06-18,37.5
46,Tomato Big,02329fa7-0fd8-48de-9f35-5a177a62da91,2013-06-18,27.5
47,Tomato Small,b6d5d5f1-8871-44db-b378-89eff0c4393e,2013-06-18,24.0
48,Apple,b174b181-c196-4a16-8415-2a6434d48d13,2013-06-19,115.0
49,Banana,73619262-1ca0-4cca-a68f-219a85d4bb04,2013-06-19,75.0
50,Brinjal Long,752ae7a6-132c-4e00-a9da-cc695b9004fc,2013-06-19,24.0
51,Brocauli,1bfd97a0-d2d6-4d16-87c3-b83484b9b309,2013-06-19,75.0
52,Carrot,d3b79163-69db-4a43-9eb8-881fd1025604,2013-06-19,40.0
53,Grapes,73b05417-910e-433e-8828-ba093cc73a81,2013-06-19,255.0
54,Jack Fruit,17a467ff-59e4-4ad7-9fe4-7c3f467904dd,2013-06-19,22.5
55,Lime,3cf53b5f-e2d8-4d9e-9a8f-94bf6202954c,2013-06-19,300.0
56,Mango,7cfbb823-e54d-4777-b549-0654134b4a5c,2013-06-19,55.0
57,Okara,6112f93c-e2a9-498c-916f-7bf2ebde66d9,2013-06-19,37.5
58,Papaya,927b88e6-313a-449a-a830-d75dc0d0da0d,2013-06-19,62.5
59,Potato Red,65bd4fea-2644-4ff8-a0cd-edb856ca704c,2013-06-19,20.5
60,Potato White,3620e29e-0b1b-4ba3-aa1c-44953c92337c,2013-06-19,15.5
61,Raddish Red,bb4d8c4d-fa24-49b8-b860-6b570e6571dc,2013-06-19,37.5
62,Tomato Big,02329fa7-0fd8-48de-9f35-5a177a62da91,2013-06-19,27.5
63,Tomato Small,b6d5d5f1-8871-44db-b378-89eff0c4393e,2013-06-19,26.0
64,Apple,b174b181-c196-4a16-8415-2a6434d48d13,2013-06-20,115.0
65,Banana,73619262-1ca0-4cca-a68f-219a85d4bb04,2013-06-20,75.0
66,Brinjal Long,752ae7a6-132c-4e00-a9da-cc695b9004fc,2013-06-20,22.5
67,Brocauli,1bfd97a0-d2d6-4d16-87c3-b83484b9b309,2013-06-20,75.0
68,Carrot,d3b79163-69db-4a43-9eb8-881fd1025604,2013-06-20,41.0
69,Grapes,73b05417-910e-433e-8828-ba093cc73a81,2013-06-20,255.0
70,Jack Fruit,17a467ff-59e4-4ad7-9fe4-7c3f467904dd,2013-06-20,22.5
71,Lime,3cf53b5f-e2d8-4d9e-9a8f-94bf6202954c,2013-06-20,300.0
72,Mango,7cfbb823-e54d-4777-b549-0654134b4a5c,2013-06-20,55.0
73,Okara,6112f93c-e2a9-498c-916f-7bf2ebde66d9,2013-06-20,37.5
74,Papaya,927b88e6-313a-449a-a830-d75dc0d0da0d,2013-06-20,55.0
75,Potato Red,65bd4fea-2644-4ff8-a0cd-edb856ca704c,2013-06-20,20.5
76,Potato White,3620e29e-0b1b-4ba3-aa1c-44953c92337c,2013-06-20,15.5
77,Raddish Red,bb4d8c4d-fa24-49b8-b860-6b570e6571dc,2013-06-20,37.5
78,Tomato Big,02329fa7-0fd8-48de-9f35-5a177a62da91,2013-06-20,27.5
79,Tomato Small,b6d5d5f1-8871-44db-b378-89eff0c4393e,2013-06-20,24.0
80,Apple,b174b181-c196-4a16-8415-2a6434d48d13,2013-06-21,115.0
81,Banana,73619262-1ca0-4cca-a68f-219a85d4bb04,2013-06-21,75.0
82,Brinjal Long,752ae7a6-132c-4e00-a9da-cc695b9004fc,2013-06-21,20.0
83,Brocauli,1bfd97a0-d2d6-4d16-87c3-b83484b9b309,2013-06-21,75.0
84,Carrot,d3b79163-69db-4a43-9eb8-881fd1025604,2013-06-21,42.5
85,Grapes,73b05417-910e-433e-8828-ba093cc73a81,2013-06-21,255.0
86,Jack Fruit,17a467ff-59e4-4ad7-9fe4-7c3f467904dd,2013-06-21,17.5
87,Lime,3cf53b5f-e2d8-4d9e-9a8f-94bf6202954c,2013-06-21,300.0
88,Mango,7cfbb823-e54d-4777-b549-0654134b4a5c,2013-06-21,45.0
89,Okara,6112f93c-e2a9-498c-916f-7bf2ebde66d9,2013-06-21,50.0
90,Papaya,927b88e6-313a-449a-a830-d75dc0d0da0d,2013-06-21,57.5
91,Potato Red,65bd4fea-2644-4ff8-a0cd-edb856ca704c,2013-06-21,21.5
92,Potato White,3620e29e-0b1b-4ba3-aa1c-44953c92337c,2013-06-21,16.5
93,Raddish Red,bb4d8c4d-fa24-49b8-b860-6b570e6571dc,2013-06-21,37.5
94,Tomato Big,02329fa7-0fd8-48de-9f35-5a177a62da91,2013-06-21,27.5
95,Tomato Small,b6d5d5f1-8871-44db-b378-89eff0c4393e,2013-06-21,17.5
96,Apple,b174b181-c196-4a16-8415-2a6434d48d13,2013-06-25,120.0
97,Banana,73619262-1ca0-4cca-a68f-219a85d4bb04,2013-06-25,65.0
98,Brinjal Long,752ae7a6-132c-4e00-a9da-cc695b9004fc,2013-06-25,37.5
99,Brocauli,1bfd97a0-d2d6-4d16-87c3-b83484b9b309,2013-06-25,75.0
100,Carrot,d3b79163-69db-4a43-9eb8-881fd1025604,2013-06-25,42.5
101,Grapes,73b05417-910e-433e-8828-ba093cc73a81,2013-06-25,255.0
102,Jack Fruit,17a467ff-59e4-4ad7-9fe4-7c3f467904dd,2013-06-25,22.5
103,Lime,3cf53b5f-e2d8-4d9e-9a8f-94bf6202954c,2013-06-25,300.0
104,Mango,7cfbb823-e54d-4777-b549-0654134b4a5c,2013-06-25,55.0
105,Okara,6112f93c-e2a9-498c-916f-7bf2ebde66d9,2013-06-25,42.5
106,Papaya,927b88e6-313a-449a-a830-d75dc0d0da0d,2013-06-25,57.5
107,Potato Red,65bd4fea-2644-4ff8-a0cd-edb856ca704c,2013-06-25,24.0
108,Potato White,3620e29e-0b1b-4ba3-aa1c-44953c92337c,2013-06-25,17.5
109,Raddish Red,bb4d8c4d-fa24-49b8-b860-6b570e6571dc,2013-06-25,42.5
110,Tomato Big,02329fa7-0fd8-48de-9f35-5a177a62da91,2013-06-25,32.5
111,Tomato Small,b6d5d5f1-8871-44db-b378-89eff0c4393e,2013-06-25,27.5
112,Apple,b174b181-c196-4a16-8415-2a6434d48d13,2013-06-26,120.0
113,Banana,73619262-1ca0-4cca-a68f-219a85d4bb04,2013-06-26,65.0
114,Brinjal Long,752ae7a6-132c-4e00-a9da-cc695b9004fc,2013-06-26,32.5
115,Brocauli,1bfd97a0-d2d6-4d16-87c3-b83484b9b309,2013-06-26,75.0
116,Carrot,d3b79163-69db-4a43-9eb8-881fd1025604,2013-06-26,37.5
117,Grapes,73b05417-910e-433e-8828-ba093cc73a81,2013-06-26,255.0
118,Jack Fruit,17a467ff-59e4-4ad7-9fe4-7c3f467904dd,2013-06-26,22.5
119,Lime,3cf53b5f-e2d8-4d9e-9a8f-94bf6202954c,2013-06-26,300.0
120,Mango,7cfbb823-e54d-4777-b549-0654134b4a5c,2013-06-26,55.0
121,Okara,6112f93c-e2a9-498c-916f-7bf2ebde66d9,2013-06-26,37.5
122,Papaya,927b88e6-313a-449a-a830-d75dc0d0da0d,2013-06-26,55.0
123,Potato Red,65bd4fea-2644-4ff8-a0cd-edb856ca704c,2013-06-26,22.5
124,Potato White,3620e29e-0b1b-4ba3-aa1c-44953c92337c,2013-06-26,17.5
125,Raddish Red,bb4d8c4d-fa24-49b8-b860-6b570e6571dc,2013-06-26,37.5
126,Tomato Big,02329fa7-0fd8-48de-9f35-5a177a62da91,2013-06-26,32.5
127,Tomato Small,b6d5d5f1-8871-44db-b378-89eff0c4393e,2013-06-26,22.5
128,Apple,b174b181-c196-4a16-8415-2a6434d48d13,2013-06-27,115.0
129,Banana,73619262-1ca0-4cca-a68f-219a85d4bb04,2013-06-27,55.0
130,Brinjal Long,752ae7a6-132c-4e00-a9da-cc695b9004fc,2013-06-27,37.5
131,Carrot,d3b79163-69db-4a43-9eb8-881fd1025604,2013-06-27,41.0
132,Grapes,73b05417-910e-433e-8828-ba093cc73a81,2013-06-27,255.0
133,Jack Fruit,17a467ff-59e4-4ad7-9fe4-7c3f467904dd,2013-06-27,19.0
134,Lime,3cf53b5f-e2d8-4d9e-9a8f-94bf6202954c,2013-06-27,300.0
135,Mango,7cfbb823-e54d-4777-b549-0654134b4a5c,2013-06-27,55.0
136,Okara,6112f93c-e2a9-498c-916f-7bf2ebde66d9,2013-06-27,37.5
137,Papaya,927b88e6-313a-449a-a830-d75dc0d0da0d,2013-06-27,57.5
138,Potato Red,65bd4fea-2644-4ff8-a0cd-edb856ca704c,2013-06-27,23.0
139,Potato White,3620e29e-0b1b-4ba3-aa1c-44953c92337c,2013-06-27,19.5
140,Raddish Red,bb4d8c4d-fa24-49b8-b860-6b570e6571dc,2013-06-27,37.5
141,Tomato Big,02329fa7-0fd8-48de-9f35-5a177a62da91,2013-06-27,32.5
142,Tomato Small,b6d5d5f1-8871-44db-b378-89eff0c4393e,2013-06-27,21.0
143,Apple,b174b181-c196-4a16-8415-2a6434d48d13,2013-06-28,115.0
144,Banana,73619262-1ca0-4cca-a68f-219a85d4bb04,2013-06-28,55.0
145,Brinjal Long,752ae7a6-132c-4e00-a9da-cc695b9004fc,2013-06-28,37.5
146,Carrot,d3b79163-69db-4a43-9eb8-881fd1025604,2013-06-28,41.0
147,Grapes,73b05417-910e-433e-8828-ba093cc73a81,2013-06-28,255.0
148,Jack Fruit,17a467ff-59e4-4ad7-9fe4-7c3f467904dd,2013-06-28,19.0
149,Lime,3cf53b5f-e2d8-4d9e-9a8f-94bf6202954c,2013-06-28,300.0
150,Mango,7cfbb823-e54d-4777-b549-0654134b4a5c,2013-06-28,55.0
151,Okara,6112f93c-e2a9-498c-916f-7bf2ebde66d9,2013-06-28,37.5
152,Papaya,927b88e6-313a-449a-a830-d75dc0d0da0d,2013-06-28,55.0
153,Potato Red,65bd4fea-2644-4ff8-a0cd-edb856ca704c,2013-06-28,23.5
154,Potato White,3620e29e-0b1b-4ba3-aa1c-44953c92337c,2013-06-28,19.5
155,Raddish Red,bb4d8c4d-fa24-49b8-b860-6b570e6571dc,2013-06-28,37.5
156,Tomato Big,02329fa7-0fd8-48de-9f35-5a177a62da91,2013-06-28,32.5
157,Tomato Small,b6d5d5f1-8871-44db-b378-89eff0c4393e,2013-06-28,26.0
158,Apple,b174b181-c196-4a16-8415-2a6434d48d13,2013-06-30,115.0
159,Banana,73619262-1ca0-4cca-a68f-219a85d4bb04,2013-06-30,45.0
160,Brinjal Long,752ae7a6-132c-4e00-a9da-cc695b9004fc,2013-06-30,37.5
161,Carrot,d3b79163-69db-4a43-9eb8-881fd1025604,2013-06-30,42.5
162,Jack Fruit,17a467ff-59e4-4ad7-9fe4-7c3f467904dd,2013-06-30,17.5
163,Lime,3cf53b5f-e2d8-4d9e-9a8f-94bf6202954c,2013-06-30,300.0
164,Mango,7cfbb823-e54d-4777-b549-0654134b4a5c,2013-06-30,55.0
165,Okara,6112f93c-e2a9-498c-916f-7bf2ebde66d9,2013-06-30,42.5
166,Potato Red,65bd4fea-2644-4ff8-a0cd-edb856ca704c,2013-06-30,23.5
167,Potato White,3620e29e-0b1b-4ba3-aa1c-44953c92337c,2013-06-30,19.5
168,Raddish Red,bb4d8c4d-fa24-49b8-b860-6b570e6571dc,2013-06-30,47.5
169,Tomato Big,02329fa7-0fd8-48de-9f35-5a177a62da91,2013-06-30,27.5
170,Tomato Small,b6d5d5f1-8871-44db-b378-89eff0c4393e,2013-06-30,20.0
171,Apple,b174b181-c196-4a16-8415-2a6434d48d13,2013-07-01,115.0
172,Banana,73619262-1ca0-4cca-a68f-219a85d4bb04,2013-07-01,45.0
173,Brinjal Long,752ae7a6-132c-4e00-a9da-cc695b9004fc,2013-07-01,37.5
174,Carrot,d3b79163-69db-4a43-9eb8-881fd1025604,2013-07-01,47.5
175,Grapes,73b05417-910e-433e-8828-ba093cc73a81,2013-07-01,255.0
176,Jack Fruit,17a467ff-59e4-4ad7-9fe4-7c3f467904dd,2013-07-01,17.5
177,Lime,3cf53b5f-e2d8-4d9e-9a8f-94bf6202954c,2013-07-01,300.0
178,Mango,7cfbb823-e54d-4777-b549-0654134b4a5c,2013-07-01,55.0
179,Okara,6112f93c-e2a9-498c-916f-7bf2ebde66d9,2013-07-01,42.5
180,Papaya,927b88e6-313a-449a-a830-d75dc0d0da0d,2013-07-01,57.5
181,Potato Red,65bd4fea-2644-4ff8-a0cd-edb856ca704c,2013-07-01,23.0
182,Potato White,3620e29e-0b1b-4ba3-aa1c-44953c92337c,2013-07-01,19.5
183,Raddish Red,bb4d8c4d-fa24-49b8-b860-6b570e6571dc,2013-07-01,47.5
184,Tomato Big,02329fa7-0fd8-48de-9f35-5a177a62da91,2013-07-01,27.5
185,Tomato Small,b6d5d5f1-8871-44db-b378-89eff0c4393e,2013-07-01,17.5
186,Apple,b174b181-c196-4a16-8415-2a6434d48d13,2013-07-02,120.0
187,Banana,73619262-1ca0-4cca-a68f-219a85d4bb04,2013-07-02,45.0
188,Brinjal Long,752ae7a6-132c-4e00-a9da-cc695b9004fc,2013-07-02,32.5
189,Carrot,d3b79163-69db-4a43-9eb8-881fd1025604,2013-07-02,47.5
190,Grapes,73b05417-910e-433e-8828-ba093cc73a81,2013-07-02,240.0
191,Jack Fruit,17a467ff-59e4-4ad7-9fe4-7c3f467904dd,2013-07-02,85.0
192,Lime,3cf53b5f-e2d8-4d9e-9a8f-94bf6202954c,2013-07-02,300.0
193,Mango,7cfbb823-e54d-4777-b549-0654134b4a5c,2013-07-02,55.0
194,Okara,6112f93c-e2a9-498c-916f-7bf2ebde66d9,2013-07-02,40.0
195,Papaya,927b88e6-313a-449a-a830-d75dc0d0da0d,2013-07-02,57.5
196,Potato Red,65bd4fea-2644-4ff8-a0cd-edb856ca704c,2013-07-02,23.5
197,Potato White,3620e29e-0b1b-4ba3-aa1c-44953c92337c,2013-07-02,19.0
198,Tomato Big,02329fa7-0fd8-48de-9f35-5a177a62da91,2013-07-02,32.5
199,Tomato Small,b6d5d5f1-8871-44db-b378-89eff0c4393e,2013-07-02,17.5
200,Apple,b174b181-c196-4a16-8415-2a6434d48d13,2013-07-03,115.0
201,Banana,73619262-1ca0-4cca-a68f-219a85d4bb04,2013-07-03,45.0
202,Brinjal Long,752ae7a6-132c-4e00-a9da-cc695b9004fc,2013-07-03,37.5
203,Carrot,d3b79163-69db-4a43-9eb8-881fd1025604,2013-07-03,47.5
204,Grapes,73b05417-910e-433e-8828-ba093cc73a81,2013-07-03,255.0
205,Jack Fruit,17a467ff-59e4-4ad7-9fe4-7c3f467904dd,2013-07-03,17.5
206,Lime,3cf53b5f-e2d8-4d9e-9a8f-94bf6202954c,2013-07-03,300.0
207,Mango,7cfbb823-e54d-4777-b549-0654134b4a5c,2013-07-03,55.0
208,Okara,6112f93c-e2a9-498c-916f-7bf2ebde66d9,2013-07-03,42.5
209,Papaya,927b88e6-313a-449a-a830-d75dc0d0da0d,2013-07-03,57.5
210,Potato Red,65bd4fea-2644-4ff8-a0cd-edb856ca704c,2013-07-03,22.5
211,Potato White,3620e29e-0b1b-4ba3-aa1c-44953c92337c,2013-07-03,18.5
212,Tomato Big,02329fa7-0fd8-48de-9f35-5a177a62da91,2013-07-03,32.5
213,Tomato Small,b6d5d5f1-8871-44db-b378-89eff0c4393e,2013-07-03,16.0
214,Apple,b174b181-c196-4a16-8415-2a6434d48d13,2013-07-04,105.0
215,Banana,73619262-1ca0-4cca-a68f-219a85d4bb04,2013-07-04,45.0
216,Brinjal Long,752ae7a6-132c-4e00-a9da-cc695b9004fc,2013-07-04,37.5
217,Carrot,d3b79163-69db-4a43-9eb8-881fd1025604,2013-07-04,47.5
218,Grapes,73b05417-910e-433e-8828-ba093cc73a81,2013-07-04,255.0
219,Jack Fruit,17a467ff-59e4-4ad7-9fe4-7c3f467904dd,2013-07-04,17.5
220,Lime,3cf53b5f-e2d8-4d9e-9a8f-94bf6202954c,2013-07-04,300.0
221,Mango,7cfbb823-e54d-4777-b549-0654134b4a5c,2013-07-04,55.0
222,Okara,6112f93c-e2a9-498c-916f-7bf2ebde66d9,2013-07-04,42.0
223,Papaya,927b88e6-313a-449a-a830-d75dc0d0da0d,2013-07-04,55.0
224,Potato Red,65bd4fea-2644-4ff8-a0cd-edb856ca704c,2013-07-04,23.5
225,Potato White,3620e29e-0b1b-4ba3-aa1c-44953c92337c,2013-07-04,18.5
226,Tomato Big,02329fa7-0fd8-48de-9f35-5a177a62da91,2013-07-04,32.5
227,Tomato Small,b6d5d5f1-8871-44db-b378-89eff0c4393e,2013-07-04,16.0
228,Apple,b174b181-c196-4a16-8415-2a6434d48d13,2013-07-05,105.0
229,Banana,73619262-1ca0-4cca-a68f-219a85d4bb04,2013-07-05,45.0
230,Brinjal Long,752ae7a6-132c-4e00-a9da-cc695b9004fc,2013-07-05,37.5
231,Carrot,d3b79163-69db-4a43-9eb8-881fd1025604,2013-07-05,47.5
232,Grapes,73b05417-910e-433e-8828-ba093cc73a81,2013-07-05,255.0
233,Jack Fruit,17a467ff-59e4-4ad7-9fe4-7c3f467904dd,2013-07-05,17.5
234,Lime,3cf53b5f-e2d8-4d9e-9a8f-94bf6202954c,2013-07-05,300.0
235,Mango,7cfbb823-e54d-4777-b549-0654134b4a5c,2013-07-05,55.0
236,Okara,6112f93c-e2a9-498c-916f-7bf2ebde66d9,2013-07-05,42.5
237,Papaya,927b88e6-313a-449a-a830-d75dc0d0da0d,2013-07-05,55.0
238,Potato Red,65bd4fea-2644-4ff8-a0cd-edb856ca704c,2013-07-05,23.0
239,Potato White,3620e29e-0b1b-4ba3-aa1c-44953c92337c,2013-07-05,18.5
240,Tomato Big,02329fa7-0fd8-48de-9f35-5a177a62da91,2013-07-05,32.5
241,Tomato Small,b6d5d5f1-8871-44db-b378-89eff0c4393e,2013-07-05,21.0
242,Apple,b174b181-c196-4a16-8415-2a6434d48d13,2013-07-09,105.0
243,Banana,73619262-1ca0-4cca-a68f-219a85d4bb04,2013-07-09,45.0
244,Brinjal Long,752ae7a6-132c-4e00-a9da-cc695b9004fc,2013-07-09,39.0
245,Carrot,d3b79163-69db-4a43-9eb8-881fd1025604,2013-07-09,37.5
246,Grapes,73b05417-910e-433e-8828-ba093cc73a81,2013-07-09,255.0
247,Jack Fruit,17a467ff-59e4-4ad7-9fe4-7c3f467904dd,2013-07-09,17.5
248,Lime,3cf53b5f-e2d8-4d9e-9a8f-94bf6202954c,2013-07-09,300.0
249,Mango,7cfbb823-e54d-4777-b549-0654134b4a5c,2013-07-09,60.0
250,Okara,6112f93c-e2a9-498c-916f-7bf2ebde66d9,2013-07-09,37.5
251,Papaya,927b88e6-313a-449a-a830-d75dc0d0da0d,2013-07-09,55.0
252,Potato Red,65bd4fea-2644-4ff8-a0cd-edb856ca704c,2013-07-09,23.5
253,Potato White,3620e29e-0b1b-4ba3-aa1c-44953c92337c,2013-07-09,19.0
254,Tomato Big,02329fa7-0fd8-48de-9f35-5a177a62da91,2013-07-09,57.5
255,Tomato Small,b6d5d5f1-8871-44db-b378-89eff0c4393e,2013-07-09,22.5
256,Apple,b174b181-c196-4a16-8415-2a6434d48d13,2013-07-10,115.0
257,Banana,73619262-1ca0-4cca-a68f-219a85d4bb04,2013-07-10,55.0
258,Brinjal Long,752ae7a6-132c-4e00-a9da-cc695b9004fc,2013-07-10,42.5
259,Carrot,d3b79163-69db-4a43-9eb8-881fd1025604,2013-07-10,37.5
260,Grapes,73b05417-910e-433e-8828-ba093cc73a81,2013-07-10,260.0
261,Jack Fruit,17a467ff-59e4-4ad7-9fe4-7c3f467904dd,2013-07-10,17.5
262,Lime,3cf53b5f-e2d8-4d9e-9a8f-94bf6202954c,2013-07-10,400.0
263,Mango,7cfbb823-e54d-4777-b549-0654134b4a5c,2013-07-10,75.0
264,Okara,6112f93c-e2a9-498c-916f-7bf2ebde66d9,2013-07-10,37.5
265,Papaya,927b88e6-313a-449a-a830-d75dc0d0da0d,2013-07-10,55.0
266,Potato Red,65bd4fea-2644-4ff8-a0cd-edb856ca704c,2013-07-10,23.5
267,Potato White,3620e29e-0b1b-4ba3-aa1c-44953c92337c,2013-07-10,19.0
268,Tomato Big,02329fa7-0fd8-48de-9f35-5a177a62da91,2013-07-10,57.5
269,Tomato Small,b6d5d5f1-8871-44db-b378-89eff0c4393e,2013-07-10,32.5
270,Apple,b174b181-c196-4a16-8415-2a6434d48d13,2013-07-11,105.0
271,Banana,73619262-1ca0-4cca-a68f-219a85d4bb04,2013-07-11,55.0
272,Brinjal Long,752ae7a6-132c-4e00-a9da-cc695b9004fc,2013-07-11,37.5
273,Carrot,d3b79163-69db-4a43-9eb8-881fd1025604,2013-07-11,37.5
274,Grapes,73b05417-910e-433e-8828-ba093cc73a81,2013-07-11,255.0
275,Jack Fruit,17a467ff-59e4-4ad7-9fe4-7c3f467904dd,2013-07-11,16.5
276,Lime,3cf53b5f-e2d8-4d9e-9a8f-94bf6202954c,2013-07-11,400.0
277,Mango,7cfbb823-e54d-4777-b549-0654134b4a5c,2013-07-11,65.0
278,Okara,6112f93c-e2a9-498c-916f-7bf2ebde66d9,2013-07-11,34.0
279,Papaya,927b88e6-313a-449a-a830-d75dc0d0da0d,2013-07-11,55.0
280,Potato Red,65bd4fea-2644-4ff8-a0cd-edb856ca704c,2013-07-11,23.5
281,Potato White,3620e29e-0b1b-4ba3-aa1c-44953c92337c,2013-07-11,19.0
282,Tomato Big,02329fa7-0fd8-48de-9f35-5a177a62da91,2013-07-11,57.5
283,Tomato Small,b6d5d5f1-8871-44db-b378-89eff0c4393e,2013-07-11,35.0
284,Apple,b174b181-c196-4a16-8415-2a6434d48d13,2013-07-12,105.0
285,Banana,73619262-1ca0-4cca-a68f-219a85d4bb04,2013-07-12,55.0
286,Brinjal Long,752ae7a6-132c-4e00-a9da-cc695b9004fc,2013-07-12,35.0
287,Carrot,d3b79163-69db-4a43-9eb8-881fd1025604,2013-07-12,47.5
288,Grapes,73b05417-910e-433e-8828-ba093cc73a81,2013-07-12,255.0
289,Jack Fruit,17a467ff-59e4-4ad7-9fe4-7c3f467904dd,2013-07-12,17.5
290,Lime,3cf53b5f-e2d8-4d9e-9a8f-94bf6202954c,2013-07-12,450.0
291,Mango,7cfbb823-e54d-4777-b549-0654134b4a5c,2013-07-12,65.0
292,Okara,6112f93c-e2a9-498c-916f-7bf2ebde66d9,2013-07-12,32.5
293,Papaya,927b88e6-313a-449a-a830-d75dc0d0da0d,2013-07-12,47.5
294,Potato Red,65bd4fea-2644-4ff8-a0cd-edb856ca704c,2013-07-12,23.5
295,Potato White,3620e29e-0b1b-4ba3-aa1c-44953c92337c,2013-07-12,19.5
296,Tomato Big,02329fa7-0fd8-48de-9f35-5a177a62da91,2013-07-12,75.0
297,Tomato Small,b6d5d5f1-8871-44db-b378-89eff0c4393e,2013-07-12,46.0
298,Apple,b174b181-c196-4a16-8415-2a6434d48d13,2013-07-14,105.0
299,Banana,73619262-1ca0-4cca-a68f-219a85d4bb04,2013-07-14,45.0
300,Brinjal Long,752ae7a6-132c-4e00-a9da-cc695b9004fc,2013-07-14,42.5
301,Carrot,d3b79163-69db-4a43-9eb8-881fd1025604,2013-07-14,47.5
302,Grapes,73b05417-910e-433e-8828-ba093cc73a81,2013-07-14,255.0
303,Jack Fruit,17a467ff-59e4-4ad7-9fe4-7c3f467904dd,2013-07-14,15.0
304,Lime,3cf53b5f-e2d8-4d9e-9a8f-94bf6202954c,2013-07-14,350.0
305,Mango,7cfbb823-e54d-4777-b549-0654134b4a5c,2013-07-14,65.0
306,Okara,6112f93c-e2a9-498c-916f-7bf2ebde66d9,2013-07-14,36.0
